cryptocurrency,total_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,var_5,var_1,expected_shortfall_5,expected_shortfall_1,skewness,kurtosis,data_points
THETA,11.132127955493743,0.9297834092424573,103.2706076903282,-0.010363225458755326,-0.01613364355070545,0.009460873993702679,-98.27669302659957,-9.222225289477358,-15.911450090528032,-13.666903712024537,-21.68321611420942,0.798569724432795,9.177564403715103,2873
ZEN,-51.896014277215926,-5.7537629681484015,280.91750553827717,-0.02760156563860664,-0.10127479960058818,-0.05791928018348378,-99.34106483921981,-9.576843448458522,-17.165933075933424,-14.794232732748009,-24.555023151901324,40.793123138249285,2028.4729178083048,3111
BCH,26.05793703189383,1.9279036181358622,95.48144983905117,-0.0007550826049004018,-0.0011830023031114674,0.01968920251110961,-97.91679561668609,-7.888680934991213,-14.89166144168482,-12.39125516621321,-20.541741775630456,1.5723712860306294,14.37057945050764,3055
CRV,-97.4044307944308,-37.66179423618704,117.83046196684785,-0.3366005154706605,-0.4989992795394167,-0.3878107429016367,-97.11384979796571,-10.517707570233728,-19.825734272908434,-16.40353347533245,-26.910594823824702,0.46100510057872685,7.000893037248005,1946
BTT,-89.82296962447131,-33.241645877044945,72.71279695908348,-0.4846691002255892,-0.8039013379951401,-0.36796417846912455,-90.33935318199516,-5.285731347519144,-9.866528607408378,-8.77979884325374,-15.580142715836043,4.824706802672056,76.04348592184206,1424
USDT,-0.02002002002001735,-0.0015742622173964271,7.763864841370332,-0.25780642799857345,-0.26078862283915427,-0.00010532698228697625,-14.946428571428708,-0.3187524633018273,-1.347661858283155,-1.124968233047322,-2.3045252157370433,3.301218408665729,154.5627503635063,3204
NFT,-89.35987702351356,-32.491234916485425,48.88997879409587,-0.7054868046015743,-0.8951170610981735,-0.3621782110512881,-89.71062842840189,-4.403212484683314,-8.90639127558678,-7.717711159522504,-13.409443340239518,1.1762054380911324,25.451908874416628,1436
LPT,-15.657589803012739,-1.6778742792870394,143.08867914177316,-0.02570346096802654,-0.05202366973260649,-0.01743507068617611,-96.23558799892848,-10.00118611583887,-17.131066619952954,-14.681824841824891,-22.806156679173476,4.820617311259161,59.357255314423796,2535
INJ,97.5892645079566,14.008806135207518,95.19607865365141,0.12614811770659945,0.20483529577910908,0.15195989568515114,-92.18752139862384,-8.212648535999277,-14.61376128342002,-12.204501556058792,-19.468935785154518,0.27338088177616604,2.673659537069473,1308
JST,3.987934411938787,0.7556583794646299,55.616477462231906,-0.02237361439117353,-0.032248421143406085,0.013642353743306933,-55.390616141687644,-5.046540589072335,-9.033437165289737,-7.621209598783146,-12.543895474426863,1.546015206342832,20.62821958019523,1308
NEAR,18.04010695187166,2.2420198337694153,103.48679363651634,0.002338654288773096,0.0038104605145360374,0.02356446137659265,-95.14411545160488,-9.104586086503778,-15.009812185079326,-13.135876548348874,-20.297784503526586,0.7511401572268926,5.654347225970555,1884
